"customer_id","recency_days","frequency","monetary","recency_score","frequency_score","monetary_score","rfm_score","customer_segment"
"4211","406","26","14742.04","4","1","1","411","Others"
"1917","396","29","14737.49","3","1","1","311","Others"
"2","390","30","14737.07","3","1","1","311","Others"
"1059","369","26","14731.90","1","1","1","111","Hibernating"
"3409","398","24","14728.23","3","1","1","311","Others"
"1625","404","29","14721.24","4","1","1","411","Others"
"1044","421","30","14711.22","4","1","1","411","Others"
"2177","391","31","14705.95","3","1","1","311","Others"
"2545","387","27","14701.47","3","1","1","311","Others"
"4502","374","26","14696.23","1","1","1","111","Hibernating"
"568","378","22","14694.78","2","2","1","221","Others"
"2740","400","25","14694.75","4","1","1","411","Others"
"3155","379","29","14693.62","2","1","1","211","Others"
"4195","383","22","14688.54","2","2","1","221","Others"
"2952","371","28","14674.93","1","1","1","111","Hibernating"
"1741","368","28","14672.67","1","1","1","111","Hibernating"
"2966","389","28","14662.79","3","1","1","311","Others"
"3324","405","22","14655.95","4","2","1","421","Others"
"3448","368","24","14651.61","1","1","1","111","Hibernating"
"2207","373","28","14646.89","1","1","1","111","Hibernating"
"1189","393","22","14641.53","3","2","1","321","Need Attention"
"646","386","30","14625.68","3","1","1","311","Others"
"910","442","22","14612.75","5","2","1","521","Others"
"1123","383","24","14612.72","2","1","1","211","Others"
"2244","377","25","14609.99","2","1","1","211","Others"
"589","409","25","14597.73","4","1","1","411","Others"
"4302","413","24","14597.02","4","2","1","421","Others"
"925","405","27","14589.77","4","1","1","411","Others"
"64","383","29","14589.25","2","1","1","211","Others"
"2064","387","29","14578.47","3","1","1","311","Others"
"4116","415","31","14566.89","4","1","1","411","Others"
"3911","413","28","14563.48","4","1","1","411","Others"
"1348","375","24","14552.85","2","1","1","211","Others"
"2606","374","26","14549.76","1","1","1","111","Hibernating"
"3129","378","26","14533.93","2","1","1","211","Others"
"4234","426","24","14533.38","5","2","1","521","Others"
"1032","383","26","14528.71","2","1","1","211","Others"
"97","393","27","14528.63","3","1","1","311","Others"
"1814","378","29","14527.51","2","1","1","211","Others"
"341","372","24","14527.04","1","1","1","111","Hibernating"
"4691","407","26","14510.44","4","1","1","411","Others"
"1332","373","30","14509.13","1","1","1","111","Hibernating"
"3585","390","26","14507.98","3","1","1","311","Others"
"4770","392","26","14507.51","3","1","1","311","Others"
"4659","379","26","14505.70","2","1","1","211","Others"
"3450","385","23","14503.35","3","2","1","321","Need Attention"
"2991","414","24","14501.63","4","2","1","421","Others"
"4173","400","25","14493.93","4","1","1","411","Others"
"1539","369","25","14492.81","1","1","1","111","Hibernating"
"2869","381","30","14492.66","2","1","1","211","Others"
"2137","399","27","14492.13","4","1","1","411","Others"
"1860","387","20","14491.76","3","3","1","331","Need Attention"
"1671","451","29","14465.86","5","1","1","511","New Customers"
"4268","376","26","14463.92","2","1","1","211","Others"
"604","419","27","14457.47","4","1","1","411","Others"
"2168","400","19","14455.52","4","3","1","431","Potential Loyalists"
"152","371","23","14447.08","1","2","1","121","Hibernating"
"454","399","31","14424.81","4","1","1","411","Others"
"3467","399","27","14421.62","4","1","1","411","Others"
"2985","381","19","14419.15","2","3","1","231","Others"
"4193","375","27","14418.14","1","1","1","111","Hibernating"
"4311","391","27","14409.43","3","1","1","311","Others"
"1650","393","27","14397.53","3","1","1","311","Others"
"63","391","28","14395.41","3","1","1","311","Others"
"4917","372","27","14387.41","1","1","1","111","Hibernating"
"236","370","27","14377.44","1","1","1","111","Hibernating"
"573","373","22","14353.69","1","2","1","121","Hibernating"
"1838","393","29","14350.51","3","1","1","311","Others"
"607","382","31","14349.65","2","1","1","211","Others"
"3612","371","28","14348.11","1","1","1","111","Hibernating"
"899","465","19","14341.64","5","3","1","531","Potential Loyalists"
"1124","469","28","14339.77","5","1","1","511","New Customers"
"3131","417","24","14338.43","4","2","1","421","Others"
"4142","469","29","14338.02","5","1","1","511","New Customers"
"4036","374","23","14334.61","1","2","1","121","Hibernating"
"4512","372","27","14325.35","1","1","1","111","Hibernating"
"1228","368","24","14324.05","1","1","1","111","Hibernating"
"4089","419","24","14288.69","4","2","1","421","Others"
"1576","421","20","14261.27","4","3","1","431","Potential Loyalists"
"1050","379","27","14247.27","2","1","1","211","Others"
"798","535","22","14226.65","5","2","1","521","Others"
"808","383","24","14225.13","2","1","1","211","Others"
"3118","378","28","14216.78","2","1","1","211","Others"
"1587","397","29","14208.70","3","1","1","311","Others"
"3982","380","29","14203.67","2","1","1","211","Others"
"836","455","26","14191.44","5","1","1","511","New Customers"
"805","386","22","14190.40","3","2","1","321","Need Attention"
"205","404","29","14187.22","4","1","1","411","Others"
"4560","374","31","14155.84","1","1","1","111","Hibernating"
"562","370","23","14155.54","1","2","1","121","Hibernating"
"2874","397","27","14146.84","3","1","1","311","Others"
"4267","374","24","14145.17","1","1","1","111","Hibernating"
"574","374","28","14142.60","1","1","1","111","Hibernating"
"3433","394","28","14137.82","3","1","1","311","Others"
"2016","408","25","14136.17","4","1","1","411","Others"
"4219","386","27","14130.50","3","1","1","311","Others"
"3041","389","34","14125.96","3","1","1","311","Others"
"2191","371","29","14123.02","1","1","1","111","Hibernating"
"3122","387","24","14118.39","3","1","1","311","Others"
"4979","377","24","14097.86","2","1","1","211","Others"
"1582","391","23","14082.16","3","2","1","321","Need Attention"
"1706","481","25","14080.93","5","1","1","511","New Customers"
"4566","373","21","14080.31","1","2","1","121","Hibernating"
"1444","373","27","14076.77","1","1","1","111","Hibernating"
"4203","372","28","14071.15","1","1","1","111","Hibernating"
"1668","376","28","14052.96","2","1","1","211","Others"
"4737","387","27","14048.43","3","1","1","311","Others"
"632","397","24","14039.71","3","1","1","311","Others"
"3866","464","25","14032.87","5","1","1","511","New Customers"
"806","406","27","14029.09","4","1","1","411","Others"
"1235","408","25","14018.32","4","1","1","411","Others"
"252","379","26","14011.39","2","1","1","211","Others"
"3669","374","23","14002.22","1","2","1","121","Hibernating"
"1812","368","23","13992.43","1","2","1","121","Hibernating"
"4972","376","25","13986.46","2","1","1","211","Others"
"3823","405","25","13977.69","4","1","1","411","Others"
"4154","378","22","13971.38","2","2","1","221","Others"
"4676","388","31","13966.84","3","1","1","311","Others"
"2813","399","25","13954.31","3","1","1","311","Others"
"1206","413","22","13948.97","4","2","1","421","Others"
"4863","372","23","13944.75","1","2","1","121","Hibernating"
"2014","373","33","13944.37","1","1","1","111","Hibernating"
"2417","463","25","13944.01","5","1","1","511","New Customers"
"335","378","25","13938.61","2","1","1","211","Others"
"4733","408","25","13937.01","4","1","1","411","Others"
"1835","369","28","13935.45","1","1","1","111","Hibernating"
"1592","371","23","13934.14","1","2","1","121","Hibernating"
"4319","375","28","13918.50","2","1","1","211","Others"
"4864","467","20","13912.70","5","3","1","531","Potential Loyalists"
"2169","480","28","13912.33","5","1","1","511","New Customers"
"2768","426","30","13910.24","5","1","1","511","New Customers"
"2972","418","27","13908.79","4","1","1","411","Others"
"3906","373","24","13905.57","1","1","1","111","Hibernating"
"1460","372","28","13901.43","1","1","1","111","Hibernating"
"1152","395","27","13897.56","3","1","1","311","Others"
"3830","374","25","13893.56","1","1","1","111","Hibernating"
"1881","382","24","13892.92","2","1","1","211","Others"
"2348","376","26","13891.67","2","1","1","211","Others"
"605","401","20","13882.76","4","3","1","431","Potential Loyalists"
"4409","487","27","13880.93","5","1","1","511","New Customers"
"331","368","20","13873.71","1","3","1","131","At Risk"
"4883","368","27","13873.11","1","1","1","111","Hibernating"
"4867","424","27","13871.96","5","1","1","511","New Customers"
"193","370","28","13867.69","1","1","1","111","Hibernating"
"606","382","23","13862.48","2","2","1","221","Others"
"4562","411","25","13860.60","4","1","1","411","Others"
"858","405","30","13843.73","4","1","1","411","Others"
"2998","431","31","13840.97","5","1","1","511","New Customers"
"289","379","25","13811.74","2","1","1","211","Others"
"1173","422","21","13807.77","4","3","1","431","Potential Loyalists"
"2240","413","21","13806.81","4","3","1","431","Potential Loyalists"
"3307","410","25","13804.69","4","1","1","411","Others"
"1434","393","24","13802.68","3","1","1","311","Others"
"2006","385","27","13800.17","3","1","1","311","Others"
"2921","381","26","13797.87","2","1","1","211","Others"
"4916","395","26","13795.50","3","1","1","311","Others"
"4326","402","27","13793.21","4","1","1","411","Others"
"3561","424","26","13784.56","5","1","1","511","New Customers"
"360","410","22","13776.94","4","2","1","421","Others"
"4408","376","24","13772.39","2","1","1","211","Others"
"3296","388","22","13767.55","3","2","1","321","Need Attention"
"2171","385","29","13760.50","2","1","1","211","Others"
"1716","411","23","13751.00","4","2","1","421","Others"
"3950","401","24","13744.13","4","2","1","421","Others"
"4220","385","31","13741.07","3","1","1","311","Others"
"2314","372","20","13737.01","1","3","1","131","At Risk"
"1601","372","22","13728.38","1","2","1","121","Hibernating"
"1459","384","23","13723.60","2","2","1","221","Others"
"405","372","24","13716.55","1","1","1","111","Hibernating"
"4818","378","25","13715.62","2","1","1","211","Others"
"1742","433","23","13712.30","5","2","1","521","Others"
"2949","386","25","13703.71","3","1","1","311","Others"
"2327","376","22","13702.27","2","2","1","221","Others"
"4464","406","21","13697.32","4","3","1","431","Potential Loyalists"
"4146","379","25","13692.14","2","1","1","211","Others"
"1507","406","21","13690.09","4","3","1","431","Potential Loyalists"
"4353","379","25","13688.28","2","1","1","211","Others"
"3174","381","29","13683.16","2","1","1","211","Others"
"4435","381","26","13681.36","2","1","1","211","Others"
"3677","401","21","13672.77","4","3","1","431","Potential Loyalists"
"393","368","24","13670.24","1","1","1","111","Hibernating"
"211","380","26","13660.36","2","1","1","211","Others"
"3030","393","27","13652.21","3","1","1","311","Others"
"2157","405","21","13648.45","4","3","1","431","Potential Loyalists"
"1070","400","24","13646.61","4","2","1","421","Others"
"3465","378","21","13643.87","2","2","1","221","Others"
"3599","384","23","13642.28","2","2","1","221","Others"
"3024","445","26","13638.94","5","1","1","511","New Customers"
"3768","435","27","13638.01","5","1","1","511","New Customers"
"3210","390","18","13635.28","3","4","1","341","Others"
"3495","368","23","13634.01","1","2","1","121","Hibernating"
"1170","409","24","13633.14","4","2","1","421","Others"
"2056","392","32","13631.34","3","1","1","311","Others"
"30","409","26","13630.21","4","1","1","411","Others"
"3583","371","23","13629.44","1","2","1","121","Hibernating"
"361","384","24","13625.58","2","1","1","211","Others"
"3350","368","27","13620.51","1","1","1","111","Hibernating"
"2127","369","25","13616.85","1","1","1","111","Hibernating"
"4872","369","24","13615.36","1","1","1","111","Hibernating"
"2483","372","22","13613.31","1","2","1","121","Hibernating"
"748","377","25","13607.02","2","1","1","211","Others"
"1995","440","26","13602.65","5","1","1","511","New Customers"
"2981","387","28","13600.73","3","1","1","311","Others"
"4445","382","26","13599.45","2","1","1","211","Others"
"2568","425","28","13596.31","5","1","1","511","New Customers"
"1215","405","28","13596.18","4","1","1","411","Others"
"2903","380","21","13590.33","2","2","1","221","Others"
"950","398","23","13589.92","3","2","1","321","Need Attention"
"2920","381","25","13588.96","2","1","1","211","Others"
"506","406","21","13587.36","4","3","1","431","Potential Loyalists"
"107","444","24","13581.68","5","2","1","521","Others"
"2712","422","19","13580.42","4","4","1","441","Others"
"4294","379","25","13579.02","2","1","1","211","Others"
"2992","432","24","13578.65","5","2","1","521","Others"
"3864","373","24","13578.64","1","1","1","111","Hibernating"
"2537","373","25","13578.56","1","1","1","111","Hibernating"
"476","397","26","13576.69","3","1","1","311","Others"
"2142","396","31","13574.67","3","1","1","311","Others"
"3998","414","22","13568.59","4","2","1","421","Others"
"624","374","30","13558.98","1","1","1","111","Hibernating"
"3303","410","26","13547.72","4","1","1","411","Others"
"1760","381","24","13537.48","2","1","1","211","Others"
"4610","399","26","13537.07","4","1","1","411","Others"
"2800","404","24","13530.32","4","2","1","421","Others"
"378","393","26","13526.78","3","1","1","311","Others"
"4038","376","28","13526.31","2","1","1","211","Others"
"1882","459","22","13526.25","5","2","1","521","Others"
"2999","407","27","13521.01","4","1","1","411","Others"
"4901","393","28","13517.16","3","1","1","311","Others"
"871","377","29","13514.17","2","1","1","211","Others"
"1963","438","26","13495.83","5","1","1","511","New Customers"
"4108","403","26","13491.27","4","1","1","411","Others"
"2493","410","24","13487.84","4","2","1","421","Others"
"1969","393","26","13485.16","3","1","1","311","Others"
"1403","368","26","13480.59","1","1","1","111","Hibernating"
"4833","405","26","13478.85","4","1","1","411","Others"
"3871","370","28","13478.54","1","1","1","111","Hibernating"
"2711","385","23","13476.84","3","2","1","321","Need Attention"
"4697","385","27","13472.43","3","1","1","311","Others"
"1900","447","27","13472.27","5","1","1","511","New Customers"
"3354","412","26","13470.35","4","1","1","411","Others"
"4856","395","23","13464.86","3","2","1","321","Need Attention"
"3468","407","24","13462.65","4","2","1","421","Others"
"1300","381","21","13461.94","2","2","1","221","Others"
"4918","382","26","13458.28","2","1","1","211","Others"
"3769","443","24","13458.10","5","2","1","521","Others"
"1417","395","26","13457.14","3","1","1","311","Others"
"4842","370","27","13453.52","1","1","1","111","Hibernating"
"4198","369","24","13453.01","1","1","1","111","Hibernating"
"59","380","23","13452.16","2","2","1","221","Others"
"1474","368","27","13446.25","1","1","1","111","Hibernating"
"3411","429","25","13439.55","5","1","1","511","New Customers"
"1818","410","24","13436.99","4","2","1","421","Others"
"2004","370","25","13436.46","1","1","1","111","Hibernating"
"4283","368","24","13435.71","1","1","1","111","Hibernating"
"1385","391","25","13430.74","3","1","1","311","Others"
"4563","420","27","13426.89","4","1","1","411","Others"
"3945","377","27","13425.80","2","1","1","211","Others"
"708","376","25","13421.61","2","1","1","211","Others"
"1804","425","29","13416.83","5","1","1","511","New Customers"
"3645","390","30","13416.65","3","1","1","311","Others"
"3251","377","28","13410.46","2","1","1","211","Others"
"1072","391","26","13404.64","3","1","1","311","Others"
"694","399","23","13403.75","4","2","1","421","Others"
"2915","384","21","13403.63","2","3","1","231","Others"
"3717","394","25","13403.20","3","1","1","311","Others"
"879","369","23","13402.78","1","2","1","121","Hibernating"
"3270","399","29","13401.95","4","1","1","411","Others"
"3015","395","22","13386.13","3","2","1","321","Need Attention"
"2824","384","25","13385.77","2","1","1","211","Others"
"4786","373","22","13385.14","1","2","1","121","Hibernating"
"2789","372","29","13385.01","1","1","1","111","Hibernating"
"3858","403","24","13376.23","4","2","1","421","Others"
"1487","462","27","13369.15","5","1","1","511","New Customers"
"67","431","20","13368.79","5","3","1","531","Potential Loyalists"
"2861","370","21","13364.99","1","2","1","121","Hibernating"
"3684","396","27","13362.93","3","1","1","311","Others"
"610","370","22","13362.93","1","2","1","121","Hibernating"
"4333","399","27","13339.27","3","1","1","311","Others"
"4931","369","24","13338.40","1","1","1","111","Hibernating"
"2605","493","24","13333.08","5","2","1","521","Others"
"2856","380","31","13325.44","2","1","1","211","Others"
"1759","383","24","13322.59","2","1","1","211","Others"
"323","383","20","13319.91","2","3","1","231","Others"
"2252","370","23","13317.52","1","2","1","121","Hibernating"
"2860","436","20","13313.09","5","3","1","531","Potential Loyalists"
"901","369","25","13303.47","1","1","1","111","Hibernating"
"3996","402","24","13300.72","4","2","1","421","Others"
"3700","375","22","13299.12","1","2","1","121","Hibernating"
"4909","440","32","13288.26","5","1","1","511","New Customers"
"2422","388","26","13286.39","3","1","1","311","Others"
"4554","368","18","13285.45","1","4","1","141","At Risk"
"1863","412","21","13280.92","4","3","1","431","Potential Loyalists"
"181","396","31","13275.91","3","1","1","311","Others"
"855","374","26","13275.73","1","1","1","111","Hibernating"
"991","369","25","13269.47","1","1","1","111","Hibernating"
"4647","373","29","13268.44","1","1","1","111","Hibernating"
"4296","383","23","13258.35","2","2","1","221","Others"
"4096","387","23","13256.58","3","2","1","321","Need Attention"
"4932","402","25","13252.18","4","1","1","411","Others"
"2349","425","31","13249.83","5","1","1","511","New Customers"
"4124","388","24","13245.29","3","1","1","311","Others"
"316","400","24","13241.27","4","2","1","421","Others"
"3054","401","23","13239.36","4","2","1","421","Others"
"4873","381","26","13238.41","2","1","1","211","Others"
"2104","426","24","13236.30","5","2","1","521","Others"
"27","373","28","13234.54","1","1","1","111","Hibernating"
"4446","461","24","13233.58","5","2","1","521","Others"
"3437","374","29","13231.88","1","1","1","111","Hibernating"
"2292","426","29","13231.28","5","1","1","511","New Customers"
"2788","379","23","13230.27","2","2","1","221","Others"
"753","389","22","13223.50","3","2","1","321","Need Attention"
"1452","425","25","13221.47","5","1","1","511","New Customers"
"824","468","23","13220.92","5","2","1","521","Others"
"1327","464","21","13220.57","5","2","1","521","Others"
"1586","419","26","13213.29","4","1","1","411","Others"
"1390","415","30","13210.45","4","1","1","411","Others"
"2363","368","23","13205.48","1","2","1","121","Hibernating"
"3018","375","25","13204.70","2","1","1","211","Others"
"3512","380","26","13204.10","2","1","1","211","Others"
"1255","411","20","13201.37","4","3","1","431","Potential Loyalists"
"731","393","24","13199.37","3","1","1","311","Others"
"2299","380","29","13198.74","2","1","1","211","Others"
"2406","471","23","13197.30","5","2","1","521","Others"
